13,27,34,36,38,45,50,18
14,23,28,29,30,33,48,9
2,12,14,15,26,34,39,48
9,11,17,19,35,36,43,28
3,8,14,15,24,33,48,4
5,9,23,29,30,31,37,34
15,16,33,36,38,43,49,4
3,5,10,18,26,33,46,49
10,20,24,25,32,39,46,15
6,11,16,18,23,26,40,45
3,21,29,37,40,43,44,38
1,3,11,13,19,22,46,31
20,31,35,36,39,42,44,23
3,9,25,26,28,34,38,36
9,15,26,36,39,41,47,37
4,16,21,32,44,45,50,26
4,5,24,25,43,44,50,41
5,9,33,36,39,41,44,27
5,6,8,15,22,46,47,31
22,24,25,26,29,32,46,20
10,25,31,34,36,39,45,9
11,20,23,24,26,41,44,38
11,15,17,20,24,25,50,30
1,15,21,29,30,31,33,5
3,13,19,25,28,30,37,1
1,4,8,28,32,36,43,40
7,11,36,37,38,43,46,26
11,16,17,20,42,44,50,31
4,11,20,22,37,44,49,13
4,8,13,23,25,33,39,17
6,29,34,39,42,47,50,22
9,11,15,19,20,35,41,28
4,21,23,39,40,42,50,17
16,17,31,34,36,39,41,10
2,3,5,12,21,22,37,19
9,17,21,23,36,41,48,12
2,16,21,33,39,42,47,1
2,20,21,30,31,39,45,18
1,2,16,21,23,25,28,48
10,12,19,22,25,32,42,39
1,3,20,21,27,28,44,43
6,11,25,31,36,41,49,47
2,9,16,17,21,22,32,38
2,23,24,29,40,48,49,18
6,31,33,34,43,44,46,22
1,2,32,37,38,39,45,16
18,23,31,32,36,38,43,27
2,6,13,19,21,32,40,12
6,12,20,24,40,42,47,44
3,19,22,30,32,37,40,20
8,15,21,28,29,30,39,23
7,22,25,26,35,41,45,3
